,Condition,Medication,Alternate names,More common,Less common,Incidence not known,Parent links,Exact medications
10,ADHD,Desipramine ,Norpramin,,,"Abdominal or stomach cramps; bigger, dilated, or enlarged pupils (black part of the eye); bloatin; constipatio; decrease in the frequency of urination; decrease in urine volume; decreased interest in sexual intercourse; diarrhe; difficulty in passing urine (dribbling); hair los; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased sensitivity of the eyes to light; loss in sexual ability, desire, drive, or performance; painful urination; swelling of the breasts or breast soreness in both females and males; swelling or inflammation of the mouth; unexpected or excess milk flow from breasts in females; ","['https://www.webmd.com/drugs/2/drug-8323-578/desipramine-hcl/details', 'https://www.webmd.com/drugs/2/drug-7470/desipramine-powder/details']","['desipramine HCL', 'desipramine powder']"
11,ADHD,Imipramine ,Tofranil,,,"Bigger, dilated, or enlarged pupils (black part of the eye); black tongue; decreased interest or ability in sexual intercourse; difficulty having a bowel movement (stool); enlargement of the breast; hives; increase in sexual ability, desire, drive, or performance; increased sensitivity of the eyes to light; increased urge to urinate during the night; peculiar taste; redness or other discoloration of the skin; severe sunburn; swelling of the testicles; swelling of the breasts or breast soreness in both females and males; swollen, painful, or tender lymph glands on the side of the face or neck; unexpected or excess milk flow from the breasts; waking to urinate at night; ","['https://www.webmd.com/drugs/2/drug-8664-574/imipramine-hcl/details', 'https://www.webmd.com/drugs/2/drug-7049-573/imipramine-pamoate/details', 'https://www.webmd.com/drugs/2/drug-93249/imipramine-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-7047-574/tofranil/details', 'https://www.webmd.com/drugs/2/drug-7048-573/tofranil-pm/details']","['imipramine HCl', 'imipramine pamoate', 'imipramine (bulk) 100 % powder', 'Tofranil', 'Tofranil-PM capsule']"
12,ADHD,Bupropion ,"Wellbutrin, Wellbutrin XL, Welbutrin SR",Constipatio; decrease in appetite; dizziness; increased sweating; stomach pain; trembling; weight los; ,Blurred vision; change in sense of taste; drowsiness; frequent need to urinate; sore throa; unusual feeling of well-being; ,,"['https://www.webmd.com/drugs/2/drug-13507-7155/bupropion-xl/details', 'https://www.webmd.com/drugs/2/drug-13507-155/bupropion-hcl/details', 'https://www.webmd.com/drugs/2/drug-171383-9155/bupropion-hcl-sr/details', 'https://www.webmd.com/drugs/2/drug-89414/bupropion-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-166972-1645/naltrexone-bupropion-tablet-er/details', 'https://www.webmd.com/drugs/2/drug-13507-8155/bupropion-hcl-sr/details', 'https://www.webmd.com/drugs/2/drug-148145/bupropion-dietary-supp-no-15-combination-package/details', 'https://www.webmd.com/drugs/2/drug-148146/bupropion-dietary-supp-no-16-combination-package/details', 'https://www.webmd.com/drugs/2/drug-151959-7155/bupropion-hbr-tablet-er-24-hr/details', 'https://www.webmd.com/drugs/2/drug-76851-7155/wellbutrin-xl/details', 'https://www.webmd.com/drugs/2/drug-14211-8155/wellbutrin-sr/details', 'https://www.webmd.com/drugs/2/drug-13509-155/wellbutrin/details']","['bupropion XL', 'bupropion HCl', 'bupropion HCl SR', 'bupropion (bulk) 100 % powder', 'naltrexone-bupropion tablet, extended release', 'bupropion HCl SR tablet, extended release', 'bupropion-dietary supp. no.15 Combination Package', 'bupropion-dietary supp. no.16 Combination Package', 'bupropion HBr Tablet, Extended Release 24 hr', 'Wellbutrin XL', 'Wellbutrin SR', 'Wellbutrin 75 mg tablet']"
13,ADHD,Venlafazine ,"Effexor, Effexor XR","Abnormal dreams; chills; constipatio; decrease in sexual desire or ability; diarrhea; dry mouth; heartbur; increased sweating; loss of appetite; nausea; stomach pain or gas; runny nos; tingling, burning, or prickly sensations; trouble sleeping; vomiting; weight los; ",Change in taste; muscle tension; yawning; ,Night sweat; ,"['https://www.webmd.com/drugs/2/drug-1836-5047/effexor-tablet/details', 'https://www.webmd.com/drugs/2/drug-4896-1047/effexor-xr/details']","['Effexor tablet', 'Effexor XR']"
14,Bipolar-Disorder,Lithium carbonate,,,"Acne; bloated feeling or pressure in the stomach; change in or loss of taste; decreased interest in sexual intercourse; diarrhea; drying and thinning of hair; excess air or gas in the stomach or bowels; full feeling; inability to have or keep an erection; increased watering of the mouth; loss in sexual ability, desire, drive, or performance; passing gas; salivary gland swelling; tooth pai; ",,"['https://www.webmd.com/drugs/2/drug-5887-42/lithium-carbonate/details', 'https://www.webmd.com/drugs/2/drug-5887-795/lithium-carbonate-er/details', 'https://www.webmd.com/drugs/2/drug-1448/lithium-carbonate-bulk-99-powder/details']","['lithium carbonate', 'lithium carbonate ER', 'lithium carbonate (bulk) 99 % powder']"
15,Bipolar-Disorder,Valproic acid ,,"Acid or sour stomach; belchin; body aches or pain; change in vision; congestion; continuing ringing or buzzing or other unexplained noise in the ears; hair los; hearing los; heartbur; impaired vision; lack or loss of strength; loss of memory; problems with memory; rash; seeing double; tender, swollen glands in the neck; trouble with swallowing; uncontrolled eye movements; voice changes; weight gain; weight los; ","Absent, missed, or irregular menstrual periods; back pai; burning, dry, or itching eyes; change in taste or bad unusual or unpleasant (after) taste; coin-shaped lesions on the skin; cough producing mucus; cramps; dandruf; discharge or excessive tearing; dry ski; earache; excess air or gas in the stomach or intestines; eye pai; feeling of constant movement of self or surroundings; full feeling; heavy bleeding; increased appetite; itching of the vagina or genital area; itching skin; loss of bowel control; neck pai; oily skin; pain; pain during sexual intercourse; pain or tenderness around the eyes and cheekbones; passing gas; rash with flat lesions or small raised lesions on the skin; redness or swelling in the ear; redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid; redness, swelling, or soreness of the tongue; sensation of spinning; sneezing; stiff neck; stopping of menstrual bleeding; vaginal discharg; ",,"['https://www.webmd.com/drugs/2/drug-8885-19/valproic-acid/details', 'https://www.webmd.com/drugs/2/drug-14398-9019/valproic-acid/details', 'https://www.webmd.com/drugs/2/drug-64731/valproic-acid-liquid/details', 'https://www.webmd.com/drugs/2/drug-8885-9019/valproic-acid-syrup/details']","['valproic acid', 'valproic acid Solution', 'valproic acid Liquid', 'valproic acid Syrup']"
16,Bipolar-Disorder,carbamazepine,,Dizzines; drowsiness (mild); lightheadedness; nausea (mild); vomiting (mild); ,"Actions that are out of control; behavioral changes (especially in children); confusion, agitation, or hostility (especially in the elderly); diarrhe; discouragement; droolin; fear; feeling of unreality; feeling sad or empty; headach; seizure; irritability; lack of appetite; loss of balanc; loss of interest or pleasure; muscle trembling, jerking, or stiffness; nause; other problems with muscle control or coordination; sense of detachment from self or body; shakiness and unsteady walk; shuffling walk; stiffness of the arm or leg; sudden, wide mood swings; talking, feeling, and acting with excitement; thoughts or attempts of killing oneself; tiredness; trouble concentrating; trouble sleeping; twisting movements of the body; uncontrolled movements, especially of the face, neck, and back; unusual drowsiness; vomitin; ","Accidental injury; aching joints or muscles; back pai; belchin; constipatio; diarrhea; dryness of the mouth; headache; heartbur; increased sensitivity of the skin to sunlight (skin rash, itching, redness or other discoloration of the skin, or severe sunburn); increased sweating; indigestio; irritation or soreness of the tongue or mouth; lack or loss of strength; loss of hair; loss of memory; problems with memory; sexual problems in males; sleepiness; stomach pain, upset, or discomfort; ","['https://www.webmd.com/drugs/2/drug-1493-5/carbamazepine/details', 'https://www.webmd.com/drugs/2/drug-1493-9005/carbamazepine-er/details', 'https://www.webmd.com/drugs/2/drug-78485/carbamazepine-bulk-powder/details', 'https://www.webmd.com/drugs/2/drug-171386-9005/carbamazepine-mood-stabiliz-capsule-multiphase-12-hr-capsule-er-hr/details']","['carbamazepine', 'carbamazepine ER', 'carbamazepine (bulk) powder', 'carbamazepine (mood stabiliz) Capsule, Extended Release Multiphase 12 hr (Capsule, ER hr)']"
17,Bipolar-Disorder,Lamotrigine,,Dizziness; drowsiness; ,Indigestio; loss of strength; menstrual pain; pain; trembling or shaking; trouble with sleeping; weight los; ,,"['https://www.webmd.com/drugs/2/drug-4582-4217/lamotrigine/details', 'https://www.webmd.com/drugs/2/drug-4582-7217/lamotrigine-tablet/details', 'https://www.webmd.com/drugs/2/drug-4582-1199/lamotrigine-odt/details', 'https://www.webmd.com/drugs/2/drug-4582-1205/lamotrigine-er/details', 'https://www.webmd.com/drugs/2/drug-165311/lamotrigine-bulk-100-powder/details']","['lamotrigine', 'lamotrigine tablet', 'lamotrigine ODT', 'lamotrigine ER', 'lamotrigine (bulk) 100 % powder']"
18,Bipolar-Disorder,quetiapine,,Constipatio; headach; ,"Abnormal vision; acid or sour stomach; belchin; decreased appetite; decreased strength and energy; headache; heartbur; increased appetite; increased muscle tone; increased sweating; increased weight; indigestio; sneezing; stomach discomfort, upset, or pain; runny nos; ",,"['https://www.webmd.com/drugs/2/drug-4689-8274/quetiapine-fumarate/details', 'https://www.webmd.com/drugs/2/drug-4689-963/quetiapine-fumarate-er/details']","['quetiapine FUMARATE', 'quetiapine FUMARATE ER']"
19,Bipolar-Disorder,olanzapine,,"Acid or sour stomach; back pai; belchin; change in personality; difficulty having a bowel movement (stool); discouragement; feeling sad or empty; fever; heartbur; increased appetite; increased cough; indigestio; lack of appetite; lack or loss of strength; loss of interest or pleasure; runny nos; sneezing; stomach discomfort, upset, or pain; stuffy nose; thirst; trouble sleeping; trouble with concentrating; watering of the mouth; ","Blemishes on the skin; body aches or pain; chills; cold sweats; congestion; cough; dry ski; dryness or soreness of the throat; false or unusual sense of well-being; heavy menstrual bleedin; hoarseness; joint pain; lack of feeling or emotion; leg cramps; pain in the arms or legs; pimple; sweating; tender, swollen glands in the neck; uncaring feelings; voice change; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-1644-9274/olanzapine/details', 'https://www.webmd.com/drugs/2/drug-1644-7274/olanzapine-odt/details', 'https://www.webmd.com/drugs/2/drug-89043-388/olanzapine-vial/details', 'https://www.webmd.com/drugs/2/drug-78206-1274/olanzapine-fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-153606-1297/olanzapine-pamoate-suspension-for-reconstitution/details']","['olanzapine', 'olanzapine ODT', 'olanzapine Vial', 'olanzapine-fluoxetine HCL', 'olanzapine pamoate Suspension for Reconstitution']"
20,Bipolar-Disorder,fluoxetine,,Decreased appetite; ,Chills or fever; joint or muscle pain; ,Cracks in the skin; loss of heat from the body; painful or prolonged erections of the penis; scaly skin; swelling of the breasts or breast soreness in both females and males; unusual milk production; ,"['https://www.webmd.com/drugs/2/drug-1774-95/fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-1774-5095/fluoxetine-dr/details', 'https://www.webmd.com/drugs/2/drug-78206-1274/olanzapine-fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-94049/fluoxetine-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-148135/fluoxetine-dietary-supp-no-8-capsule/details', 'https://www.webmd.com/drugs/2/drug-148137/fluoxetine-dietary-supp-no-17-capsule/details']","['fluoxetine HCL', 'fluoxetine DR', 'olanzapine-fluoxetine HCL', 'fluoxetine (bulk) 100 % powder', 'fluoxetine-dietary supp. no.8 capsule', 'fluoxetine-dietary supp no.17 capsule']"
21,Depression,Fluoxetine,,Decreased appetite; ,Chills or fever; joint or muscle pain; ,Cracks in the skin; loss of heat from the body; painful or prolonged erections of the penis; scaly skin; swelling of the breasts or breast soreness in both females and males; unusual milk production; ,"['https://www.webmd.com/drugs/2/drug-1774-95/fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-1774-5095/fluoxetine-dr/details', 'https://www.webmd.com/drugs/2/drug-78206-1274/olanzapine-fluoxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-94049/fluoxetine-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-148135/fluoxetine-dietary-supp-no-8-capsule/details', 'https://www.webmd.com/drugs/2/drug-148137/fluoxetine-dietary-supp-no-17-capsule/details']","['fluoxetine HCL', 'fluoxetine DR', 'olanzapine-fluoxetine HCL', 'fluoxetine (bulk) 100 % powder', 'fluoxetine-dietary supp. no.8 capsule', 'fluoxetine-dietary supp no.17 capsule']"
22,Depression,Sertraline,,"Acid or sour stomach; belchin; weight los; diarrhea or loose stools; heartbur; sleepiness or unusual drowsiness; stomach or abdominal cramps, gas, or pain; trouble sleeping; ","anxiet; bladder pain; numbnes; changes in vision; cloudy urine; constipatio; difficult, burning, or painful urination; flushing or redness of the skin, with feeling of warmth or heat; frequent urge to urinate; increased appetite; pain or tenderness around the eyes and cheekbones; runny nos; ","Flushed, dry skin; fruit-like breath odor; increased hunger; increased urination; redness or other discoloration of the skin; severe sunburn; swelling of the breasts (in women); unexplained weight los; unusual secretion of milk (in women); ","['https://www.webmd.com/drugs/2/drug-1-8095/sertraline-hcl/details', 'https://www.webmd.com/drugs/2/drug-151523/sertraline-bulk-100-powder/details']","['sertraline HCL', 'sertraline (bulk) 100 % powder']"
23,Depression,Paroxetine,,"Acid or sour stomach; belchin; decreased appetite; decreased sexual ability or desire; heartbur; pain or tenderness around the eyes and cheekbones; passing gas; problems with urinating; runny or stuffy nose; sexual problems, especially ejaculatory disturbances; sleepiness or unusual drowsiness; stomach discomfort or upset; trouble sleeping; ","Abnormal dreams; change in sense of taste; congestion; discouragement, feeling sad, or empty; drugged feeling; fast or irregular breathing; feeling of unreality; headache, severe and throbbing; increased appetite; itching of the vagina or genital area; itching, pain, redness, or swelling of the eye or eyelid; lack of emotion; loss of interest or pleasure; lump in the throat; menstrual changes; pain during sexual intercourse; problems with memory; sense of detachment from self or body; sneezing; vaginal discharg; tightness in the throat; tingling, burning, or prickling sensations; trouble concentrating; voice changes; watering of the eyes; weight los; yawn; ",,"['https://www.webmd.com/drugs/2/drug-174344-1554/paroxetine-mesylate/details', 'https://www.webmd.com/drugs/2/drug-6969-9095/paroxetine-hcl/details', 'https://www.webmd.com/drugs/2/drug-6969-3095/paroxetine-er/details', 'https://www.webmd.com/drugs/2/drug-6969-6095/paroxetine-hcl-suspension/details', 'https://www.webmd.com/drugs/2/drug-78093-1095/paroxetine-mesylate-tablet/details']","['paroxetine MESYLATE', 'paroxetine HCl', 'paroxetine ER', 'paroxetine HCl Suspension', 'paroxetine mesylate tablet']"
24,Depression,Citalopram,,Decrease in sexual desire or ability; sleepiness or unusual drowsiness; ,"Body aches or pain; change in sense of taste; gas; headach; heartbur; increased sweating; increased yawning; loss of voice; pain in the muscles or joints; sneezing; runny nos; tingling, burning, or prickly feelings on the skin; tooth grinding; unusual increase or decrease in weight; watering of the mouth; ","Bruising; inability to sit still; large, flat, blue or purplish patches in the skin; need to keep moving; uncontrolled eye movements; ",['https://www.webmd.com/drugs/2/drug-1701/citalopram-oral/details'],['citalopram-oral']
25,Depression,Escitalopram,,"Constipatio; decreased interest in sexual intercourse; diarrhe; dry mouth; ejaculation delay; gas in the stomach; heartbur; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; sleepiness or unusual drowsiness; trouble sleeping; ","Bloated or full feeling; numbnes; chills; cough; decreased appetite; excess air or gas in the stomach or intestines; fever; general feeling of discomfort or illness; increased sweating; joint pain; muscle aches and pains; not able to have an orgasm; pain in the neck or shoulders; pain or tenderness around the eyes and cheekbones; passing gas; runny nos; shivering; sneezing; sore throa; stuffy nose; tightness of the chest; tooth problems; trouble breathing; unusual dreams; unusual drowsiness, dullness, tiredness, weakness or feeling of sluggishness; yawning; ",,['https://www.webmd.com/drugs/2/drug-63989/escitalopram-oxalate-oral/details'],['escitalopram-oxalate-oral']
